Season 4 (2007),Season 4 (2007),Season 4 (2007),Season 4 (2007),Season 4 (2007)
128,75,"October 13, 2007",Madness Couples - Find a Relationship between the members and their staff,Managers of Infinite Challenge Cast
128,75,"October 13, 2007",Job Interview of Infinite Challenge #1,
129,76,"October 20, 2007",A Lesson of Being a Father,Im Ye-jun (baby)
129,76,"October 20, 2007",Job Interview of Infinite Challenge #2,"Kim Young-hee, Je Yeong-jae, Im Jeong-ah & Gwon seok (MBC Interviewer)"
130,77,"October 27, 2007",Jun-Hines Ward Special,Choi Jong-hoon (Jeong Jun-ha's manager)
131,78,"November 3, 2007",Infinite Challenge's Captain Planet,
132,79,"November 10, 2007",Renewable Energy Special,"Infinite Challenge Producers, Kim Hyeong-ja, Go Nae-un, Kim Doh-yang"
133,80,"November 24, 2007",Sport Dance Special #1,Dancer Park Ji-eun
134,81,"December 1, 2007",Sport Dance Special #2,Dancer Park Ji-eun
134,81,"December 1, 2007",Paris Hilton Special ( Heiress & Socialite),Paris Hilton
135,82,"December 8, 2007",Sport Dance Special #3,Dancer Park Ji-eun
136,83,"December 15, 2007",Calendar 2008 Special,Kim Ok-jeong (Haha's Mother)
137,84,"December 22, 2007",Infinite Challenge's 'Thank You Concert' - Preparation,Kyunghee University Music Students
137,84,"December 22, 2007",Dawn Caroling - Surprise Wakeup Call,
138,85,"December 29, 2007",Infinite Challenge's 'Thank You Concert' Special,"Shin Bong-sun, Kim Ok-jeong (Haha's mother)"
